epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,907.446,0.00498,0.42299,1.16315,0.99839,1,0.995,0.79948,0.00563,0.41312,1.16674,0.0005743,0.0005743,0.0005743
45,927.674,0.0048,0.4139,1.15034,0.99555,1,0.995,0.82337,0.00566,0.42261,1.16845,0.0005644,0.0005644,0.0005644
46,948.121,0.00497,0.42879,1.16277,0.99786,1,0.995,0.75689,0.00682,0.49524,1.28088,0.0005545,0.0005545,0.0005545
47,968.434,0.00492,0.42402,1.15513,0.99839,1,0.995,0.7004,0.00928,0.52779,1.55572,0.0005446,0.0005446,0.0005446
48,988.753,0.00475,0.41533,1.14544,0.99819,1,0.995,0.82582,0.0054,0.41208,1.17336,0.0005347,0.0005347,0.0005347
49,1009.37,0.0046,0.40162,1.11959,0.99813,1,0.995,0.73984,0.00791,0.51673,1.37073,0.0005248,0.0005248,0.0005248
50,1030.05,0.00458,0.39697,1.12082,0.99756,1,0.995,0.82241,0.00593,0.41527,1.20452,0.0005149,0.0005149,0.0005149
51,1050.36,0.0047,0.40294,1.13646,0.9984,1,0.995,0.8101,0.00613,0.39817,1.18916,0.000505,0.000505,0.000505
52,1071.31,0.00465,0.39893,1.13317,0.99896,1,0.995,0.79772,0.00601,0.38781,1.1907,0.0004951,0.0004951,0.0004951
53,1092.22,0.00449,0.38616,1.10797,0.99828,1,0.995,0.76336,0.00657,0.45559,1.29175,0.0004852,0.0004852,0.0004852
54,1113.1,0.00435,0.37665,1.10402,0.99842,1,0.995,0.80483,0.00635,0.44118,1.20845,0.0004753,0.0004753,0.0004753
55,1133.59,0.00427,0.38074,1.09679,0.99711,1,0.995,0.77516,0.00726,0.46445,1.31504,0.0004654,0.0004654,0.0004654
56,1153.93,0.00436,0.37738,1.1036,0.9982,1,0.995,0.79381,0.00593,0.37275,1.18906,0.0004555,0.0004555,0.0004555
57,1174.07,0.00428,0.3779,1.08623,0.99834,1,0.995,0.8103,0.00568,0.37736,1.14238,0.0004456,0.0004456,0.0004456
58,1194.35,0.00427,0.37539,1.11374,0.99825,1,0.995,0.8272,0.0057,0.44338,1.20504,0.0004357,0.0004357,0.0004357
59,1214.76,0.00411,0.36321,1.08293,0.99816,1,0.995,0.83115,0.00536,0.38643,1.15519,0.0004258,0.0004258,0.0004258
60,1235.13,0.00406,0.35868,1.07742,0.99837,1,0.995,0.79861,0.00636,0.41165,1.29832,0.0004159,0.0004159,0.0004159
61,1255.82,0.00423,0.37359,1.09939,0.97341,1,0.99455,0.66908,0.00886,0.61068,1.43766,0.000406,0.000406,0.000406
62,1276.15,0.00407,0.35797,1.07234,0.99846,1,0.995,0.83875,0.00497,0.34832,1.12442,0.0003961,0.0003961,0.0003961
63,1296.35,0.00396,0.35299,1.07648,0.99852,1,0.995,0.85296,0.00493,0.33653,1.09099,0.0003862,0.0003862,0.0003862
64,1316.7,0.00385,0.34282,1.05894,0.99847,1,0.995,0.82822,0.00532,0.38128,1.14429,0.0003763,0.0003763,0.0003763
65,1337.16,0.00391,0.34588,1.05898,0.99851,1,0.995,0.81772,0.00518,0.36639,1.15071,0.0003664,0.0003664,0.0003664
